Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request.,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The issuer validates S1 to authenticate the card and the data to be used in the transaction.,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The issuer sends S2 to the load acquirer in the authorization response message.,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer.,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
The cardholder must have an account relationship with the card issuer and funds removed from the card are credited to the cardholder account only after the card issuer authenticates the card.,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The issuer needs only to authenticate the card and the card needs only to authenticate the issuer and that the data is the same as used by the issuer.,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card generates S1 using data from the card and load device and sends S1 to the card issuer to authenticate the card and the data that is to be used in the transaction,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card issuer generates S2 which is sent to the card to allow the card to validate the card issuer??s authenticity and to ensure that the data used by the card in the transaction is the same as the card issuer intended,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
During a purchase transaction the CEP card must ensure that it is dealing with an authentic POS device and it must generate a signature to allow the card issuer to verify the integrity of the transaction,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
The POS device must ensure that it is dealing with an authentic card and guarantee integrity of transactions and batches to the merchant acquirer,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
In the case of a reversal the CEP card must re-authenticate the PSAM,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card must ensure that the transaction is performed by the same POS device as was used for the purchase being canceled and that the amount of the cancellation is the same as the amount of the purchase or in the case of an incremental purchase the same as the amount of the last step,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
During a Cancel Last Purchase transaction the CEP card is authenticated by the PSAM in the POS device,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The PSAM authenticates that the purchase transaction being canceled was performed by the PSAM and that the transaction being canceled is part of the active batch,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card issuer and the merchant acquirer also authenticate the transaction when they receive it,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
The transaction signatures ensure end to end integrity of transmitted data for load unload and currency exchange transactions,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
These totals are used by the merchant acquirer to ensure the integrity of the batch,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
The count and amount of the transactions in the batch must be protected by the S4 MAC This information is not part of the card issuer??s verification process,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
Scheme providers must assign unique identifying numbers to merchant acquirers who provide PSAMs,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
These merchant acquirers must then assign unique identifiers to PSAMs,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Each PSAM must maintain a transaction count The unique PSAM ID and the transaction count are used during a conversation with a CEP card. The transaction count must not be reset during the life of the PSAM,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
Contain the CA public RSA key the PSAM??s private RSA key and optionally the certificates that the POS device uses to perform mutual authentication with the CEP card,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Perform the calculation required to generate a signature using the PSAM??s private RSA key to allow the CEP card to validate the PSAM,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
Be the entity that maintains control over the flow of a transaction ensuring that all security is enforced,Security,SecReq,1,Айдар,,Integrity,Aydar,Not sure,,,,,,
Perform the verification of signatures and certificates during a purchase and cancel last purchase transaction,Security,SecReq,1,Айдар,,Accountability,Aydar,Not sure,,,,,,
Ensure that CA public keys aggregation parameters blocking lists and issuer certificate revocation lists from the scheme providers are sent to the POS devices,Security,SecReq,1,Айдар,,Accountability,Aydar,Not sure,,,,,,
Share one or more MAC keys with connecting processors create a MAC on each transmission sent to another processor and verify the MAC on each transmission received from another processor,Security,SecReq,1,Айдар,,Integrity,Aydar,Not sure,,,,,,
The scheme provider must ensure that the entire process between merchants merchant acquirers card issuers and processors is auditable and reconcilable,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
If errors in the card issuer MAC are discovered by the card issuer during its processing of the transactions a dispute mechanism established by the scheme provider may be used to have money refunded,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
If a scheme provider establishes a central error repository all transactions for the scheme with MAC errors must be sent to that central error repository whether or not they are submitted to the dispute process,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
A purchase transaction may be reversed prior to the removal of the CEP card from the POS device by sending a purchase reversal command to the CEP card The CEP card must authenticate the PSAM using certificates previously exchanged,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
The amount to be reversed is the amount of the last step of the transaction. The reversal command sent to the CEP card contains a S2 MAC computed by the PSAM.,Security,SecReq,1,Айдар,,Other,Aydar,Not sure,,,,,,
The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction computes a new S4 MAC on the updated batch total count and amount and logs the transaction,Security,SecReq,1,Айдар,,Accountability,Aydar,Not sure,,,,,,
The CEP card authenticates the PSAM using the certificates previously received and the S2 The CEP card increments the value of the purse and logs the transaction,Security,SecReq,1,Айдар,,Other,Aydar,Not sure,,,,,,
The CEP card verifies that the PSAM is the PSAM used in the original transaction computes a S1 MAC using the same DES session key that was used for the purchase transaction being cancelled and responds to the POS device with the S1 and the identification of the last transaction. If the purchase transaction to be canceled has been canceled or is not part of the active batch the command is not allowed,Security,SecReq,1,Айдар,,Integrity,Aydar,Not sure,,,,,,
The PSAM either retrieves or re-derives the DES session key used for the purchase transaction being cancelled. The POS device authenticates the CEP card using this key and the S1 MAC,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction and a new S4 MAC for the batch total count and amount and logs the transaction. The amount of the canceled last purchase transaction is subtracted from the header amount. The transaction is kept in a data store associated with the POS device until the merchant acquirer collects it,Security,SecReq,1,Айдар,,Accountability,Aydar,Not sure,,,,,,
A credit command which contains the S2 MAC computed by the PSAM using the session key is sent to the CEP card,Security,SecReq,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
The CEP card authenticates the terminal using the S2 MAC and the session key from the purchase transaction being cancelled. The CEP card increments the value of the purse and logs the transaction. The CEP card verifies that the cancellation amount is equal to the amount of the last step of the purchase transaction,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
A transaction collection process must exist. Data being transmitted from the POS devices must be transmitted in a manner that ensures integrity of the data,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
Each POS transaction completed at the POS device is given a S5 MAC by the PSAM which is used by the merchant acquirer to validate that the transactions were made at a POS device with a valid PSAM. The batch total count and amount must be protected by the S4 MAC which must also be validated by the merchant acquirer,Security,SecReq,1,Айдар,,Integrity,Aydar,Not sure,,,,,,
The merchant acquirer validates the PSAM??s MACs prior to accepting the POS transactions for payment. In addition selected data elements are validated to ensure correct processing by the POS device and its PSAM,Security,SecReq,1,Айдар,,Integrity,Aydar,Not sure,,,,,,
Each purchase transaction is signed by the CEP card with a S6 MAC which is used by the card issuer to validate that the transaction was made with a legitimate not counterfeit CEP card. The card issuer validates the CEP card??s MAC,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Payment decisions are based on signature validations scheme provider rules and merchant and merchant acquirer agreements,Security,SecReq,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
Pay on detail is the default payment arrangement for merchant acquirers to provide payment to their merchants. In this arrangement the merchant acquirer relies on the POS transaction S5 MAC to determine acceptance. Merchants are paid only for valid POS transactions,Security,SecReq,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
All load transactions are on-line transactions. Authorization of funds for load transactions must require a form of cardholder verification. The load device must support on-line encrypted PIN or off-line PIN verification,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Off-line PIN verification must include both encrypted and unencrypted PIN,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card verification method indicator (CVMI) in the CEP card must specify support of online PIN verification and at least one method of off-line PIN verification (encrypted or unencrypted),Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Since these transactions are on-line to the issuer the issuer has the opportunity to lock the card or the application. These transactions are not available to a card that has already been locked,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Only one version of the CA public key is required in the card. This requires that the PSAMs with which the CEP card exchanges cryptograms must be capable of generating and validating cryptograms using the relevant keys from all current cards,Security,SecReq,1,Айдар,,Integrity,Aydar,Not sure,,,,,,
Two-way or mutual authentication where the card authenticates the terminal and the terminal authenticates the card for each transaction must be performed for off-line transactions,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
For increased security and convenience asymmetric cryptography must be used as the authentication security for off-line transactions,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card must authenticate the terminal at the point of sale ensuring that it is genuine and valid and use a two-way authentication process,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The terminal must authenticate the card and the transaction at the point of sale ensuring that they are genuine and valid,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The terminal must participate in a two-way authentication process with the card,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
For cancel last purchase transactions the terminal must validate the card and sign the cancellation,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The terminal must secure transactions by retaining the card??s symmetric MACing key signature as part of the transaction.,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The terminal must generate a symmetric MACing key signature and send it to the merchant acquirer.,Security,SecReq,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
Incremental purchase transactions must use two-way authentication for the initial session authentication and at least one-way with the terminal authenticating the card for the remaining increments or some of the remaining increments,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Load and unload functions must be authenticated using end-to-end security between the card and the card issuer,Security,SecReq,1,Айдар,,Confidentiality,Aydar,Not sure,,,,,,
The issuer host must authenticate the card upon the load/unload request,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The card must authenticate the issuer host upon the response to the request,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
A proof must be sent to the load acquirer that a load or unload occurred to avoid repudiation,Security,SecReq,1,Айдар,,Other,Aydar,Not sure,,,,,,
The management of keys must be accomplished in a secure certified environment,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
There may be multiple certification authorities that manage keys for the system including the possibility of one overall highest level certification authority (perhaps on an international level) and domestic certification authorities for each country or region,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The system must protect the integrity of key transaction data including transaction identification currency code and amount. If tampering is suspected the system must cause the transaction to fail,Security,SecReq,1,Айдар,,Integrity,Aydar,,,,,,,
Funds issuers must accept funds authorization requests regardless of the load currency type as permitted,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Authorizations for load transactions require a form of cardholder authentication for funds requests,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The load device must support on-line PIN encryption or off-line PIN verification,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
The load device which supports only off-line PIN verification must support both the off-line PIN encryption method and the off-line PIN plain text verification method as defined in EMV,Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
Unload transactions do not require cardholder authentication. (However an acquirer??s devices may be configured such that authentication is required for access.),Security,SecReq,1,Айдар,,Confidentiality,Aydar,,,,,,,
6) The system shall provide the ability to uniquely identify a patient and tie the record to a single patient.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Functional,Vasily,"Ain't it functional? Patient here is not subject, but object.",,Confidentiality – don't let strangers read,,,,
"Statement: Capture and explicitly label patient originated data, link the data source with the data, and support provider authentication for inclusion in patient health record.",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,Integrity – don't let strangers write,,,,
The system shall securely relate medications to be administered to the unique identity of the patient (see DC.1.1.1).,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Functional,Vasily,Ain't it functional?,,Availability – system should work no matter what,,,,
Appropriate time stamps for all medication related activity are generated.,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,Accountability – record who does what,,,,
"Description: To reduce medication errors at the time of administration of a medication, the patient is positively identified; checks on the drug, the dose, the route and the time are facilitated.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Functional,Vasily,Ain't it functional?,,,,,,
"Description: To reduce errors at the time of blood product administration, the patient is positively identified.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Functional,Vasily,Ain't it functional?,,,,,,
"1) The system shall present information necessary to correctly identify the patient and accurately administer blood products including patient name, blood product number, amount, route, and time of administration.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,It let's administrator to see patient's data,,,,,,
"Description: To ensure the accuracy of specimen collection, the patient and specimen are positively identified.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Functional,Vasily,Ain't it functional?,,,,,,
"1) The system shall provide the ability to present information necessary to correctly identify the patient and accurately identify the specimen to be collected including, but not limited to, patient name, specimen type, specimen source, means of collection, date and time.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,It let's administrator to see patient's data,,,,,,
2) The system shall apply local privacy and confidentially rules when assembling aggregate data to prevent identification of individuals by unauthorized parties.,PRIVACY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"An EHR-S must be capable of including or interfacing with standards-conformant security services to ensure that any Principal (user, organization, device , application, component, or object) accessing the system or its data is appropriately authenticated, authorized and audited in conformance with local possibly and possibly jurisdictional policies.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"An EHR-S should support Chains of Trust in respect of authentication, authorization, and privilege management, either intrinsically or by interfacing with relevant external services.","ACCESS_CONTROL_IDENTITY,INTEGRITY",hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
Statement:  Authenticate EHR-S users possibly and possibly entities before allowing access to an EHR-S.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
Description: Both users and applications are subject to authentication.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
The EHR-S must provide mechanisms for users and applications to be authenticated.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Users will have to be authenticated when they attempt to use the application, the applications must authenticate themselves before accessing EHR information managed by other applications or remote EHR-S’.",ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
1) The system shall authenticate principals prior to accessing an EHR-S application or EHR-S data.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
2) The system shall prevent access to EHR-S applications or EHR-S data to all non-authenticated principals.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"4) In the absence of other appropriate authentication mechanisms, the system shall authenticate principals using at least one of the following authentication mechanisms: username or password, digital certificate, secure token or biometrics.",ACCOUNTABILITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Enable EHR-S security administrators to grant authorizations to users, for roles, and within contexts.",INTEGRITY,hl7_functional,1,Riaz,,Integrity,Vasily,,,,,,,
• User based authorization refers to the permissions granted or denied based on the identity of an individual.,INTEGRITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
An example of User based authorization is a patient defined denial of access to all or part of a record to a particular party for privacy related reasons.,CONFIDENTIALITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
Another user based authorization is for a tele-monitor device or robotic access to an EHR-S for prescribed directions and other input.,INTEGRITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
• Role based authorization refers to the responsibility or function performed in a particular operation or process.,INTEGRITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
• Context-based Authorization is defined by ISO 10181-3,INTEGRITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Technical Framework for Access Control Standard as security relevant properties of the context in which an access request occurs, explicitly time, location, route of access, and quality of authentication.",CONFIDENTIALITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"In addition to the ISO standard, context authorization for an EHR-S is extended to satisfy special circumstances such as, work assignment, patient consents and authorizations, or other healthcare-related factors.",INTEGRITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
2) The system shall conform to function IN.2.2 (Auditable Records) for the purpose of recording all authorization actions.,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"3) The system shall provide EHR-S security administrators with the ability to grant authorizations to principals according to scope of practice, organizational policy, or jurisdictional law.",INTEGRITY,hl7_functional,1,Riaz,,Integrity,Vasily,,,,,,,
"4) The system shall provide EHR-S security administrators with the ability to grant authorizations for roles according to scope of practice, organizational policy, or jurisdictional law.",INTEGRITY,hl7_functional,1,Riaz,,Integrity,Vasily,,,,,,,
"5) The system shall provide EHR-S security administrators with the ability to grant authorizations within contexts according to scope of practice, organizational policy, or jurisdictional law.",INTEGRITY,hl7_functional,1,Riaz,,Integrity,Vasily,,,,,,,
"To ensure that access is controlled, an EHR-S must perform authentication and authorization of users or applications for any operation that requires it and enforce the system and information access rules that have been defined.","ACCESS_CONTROL_IDENTITY,CONFIDENTIALITY",hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
1) The system shall conform to function IN.1.1 (Entity Authentication).,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
2) The system shall conform to function IN.1.2 (Entity Authorization).,INTEGRITY,hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
"Statement:  Limit an EHR-S user’s ability to deny (repudiate) the origination, receipt, or authorization of a data exchange by that user.",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
Non repudiation guarantees that the source of the data record can not later deny that it is the source; that the sender or receiver of a message cannot later deny having sent or received the message.,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"Non-repudiation is a way to guarantee that the source of data or record can not later deny that fact, that the sender of a message cannot later deny having sent the message, and that the recipient cannot deny having received the message.",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"For example, non-repudiation may be achieved through the use of a:",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"• Digital signature, which serves as a unique identifier for an individual (much like a written signature on a paper document).",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
Every entry in the health record must be identified with the author and should not be made or signed by someone other than the author.,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"Attestation functionality must meet applicable legal, regulatory and other applicable standards or requirements.",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
1) The system shall conform to function IN.1.1 (Entity Authentication) to provide authentication capabilities.,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
2) The system shall conform to function IN.1.2 (Entity Authorization) to provide authorization capabilities.,INTEGRITY,hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
"1) The system shall provide the ability to fully comply with the requirements for patient privacy and confidentiality in accordance with a user's scope of practice, organizational policy, or jurisdictional law.","CONFIDENTIALITY,PRIVACY",hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
2) The system shall conform to function IN.1.1 (Entity Authentication).,ACCESS_CONTROL_IDENTITY,hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
3) The system shall conform to function IN.1.2 (Entity Authorization).,INTEGRITY,hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
4) The system shall conform to function IN.1.3 (EntityAccess Control).,"ACCESS_CONTROL_IDENTITY,INTEGRITY",hl7_functional,1,Riaz,,Access control,Vasily,,,,,,,
5) The system should conform to function IN.1.5 (Non- Repudiation).,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
6) The system shall conform to function IN.1.6 (Secure DataExchange).,"ACCESS_CONTROL_IDENTITY,CONFIDENTIALITY",hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"8) The system shall provide the ability to maintain varying levels of confidentiality in accordance with users' scope of practice, organizational policy, or jurisdictional law.",CONFIDENTIALITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
Statement:  Keep patient identities and conditions invisible to the public and other providers who do not have “need to know” on public tracking screens.,CONFIDENTIALITY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"1) The system shall provide a means to flag patients who require protection of their identity from others, including family, visitors, and non participating healthcare providers.",PRIVACY,hl7_functional,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Statement:  Retain, ensure availability, and destroy health record information according to scope of practice, organizational policy, or jurisdictional law.",AVAILABILITY,hl7_functional,1,Riaz,,Availability,Vasily,,,,,,,
"Statement:  Provide audit capabilities for system access and usage indicating the author, the modification (where pertinent), and the date and time at which a record was created, modified, viewed, extracted, or deleted.",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"There is a requirement for system audit trails for the following events: • Loading new versions of, or changes to, the clinical system; Loading new versions of codes and knowledge bases; >Taking and restoring of backup; • Changing the date and time where the clinical system allows this to be done; >Archiving any data; • Re-activating of an archived patient record; • Entry to and exiting from the clinical system; • Remote access connections including those for system support and maintenance activities;",ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
3) The system shall provide audit capabilities indicating the time stamp for an object or data creation.,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
14) The system shall provide the ability to generate an audit report,ACCOUNTABILITY,hl7_functional,1,Riaz,,Accountability,Vasily,,,,,,,
"1) The system shall provide response to information requests from providers in sub-second times so as to not impair user attention, workflow, or patient flow in the ED practice setting.",AVAILABILITY,hl7_functional,1,Riaz,,Availability,Vasily,,,,,,,
The user ID and date or time stamp shall be recorded.,ACCOUNTABILITY,CCHIT,1,Riaz,,Accountability,Vasily,,,,,,,
"The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter.",AVAILABILITY,CCHIT,1,Riaz,,Availability,Vasily,,,,,,,
This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record.,INTEGRITY,CCHIT,1,Riaz,,Integrity,Vasily,,,,,,,
The system shall have the ability to provide support for disclosure management in compliance with HIPAA and applicable law.,PRIVACY,CCHIT,1,Riaz,,Confidentiality,Vasily,,,,,,,
The system shall provide protection to maintain the integrity of clinical data during concurrent access.,INTEGRITY,CCHIT,1,Riaz,,Integrity,Vasily,,,,,,,
"The system shall enforce the most restrictive set of rights or privileges or accesses needed by users or groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks.",CONFIDENTIALITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
"The system must be able to associate permissions with a user using one or more of the following access controls: 1) user-based (access rights assigned to each user); 2) role-based (users are grouped and access rights assigned to these groups); or 3) context-based (role-based with additional access rights assigned or restricted based on the context of the transaction such as time-of-day, workstation-location, emergency-mode, etc.)",CONFIDENTIALITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
The system shall be able to detect security-relevant events that it mediates and generate audit records for them.,ACCOUNTABILITY,CCHIT,1,Riaz,,Accountability,Vasily,,,,,,,
"The system shall record within each audit record the following information when it is available: (1) date and time of the event; (2) the component of the system (e.g. software component, hardware component) where the event occurred; (3) type of event (including: data description and patient identifier when relevant); (4) subject identity (e.g. user identity); and (5) the outcome (success or failure) of the event.",ACCOUNTABILITY,CCHIT,1,Riaz,,Accountability,Vasily,,,,,,,
The system shall provide authorized administrators with the capability to read all audit information from the audit records in one of the following two ways:  1) The system shall provide the audit records in a manner suitable for the user to interpret the information.,ACCOUNTABILITY,CCHIT,1,Riaz,,Accountability,Vasily,,,,,,,
The system shall prevent modifications to the audit records.,INTEGRITY,CCHIT,1,Riaz,,Accountability,Vasily,,,,,,,
"The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures.",ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
The system shall enforce a limit of (configurable) consecutive invalid access attempts by a user.,ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
"The system shall protect against further, possibly malicious, user authentication attempts using an appropriate mechanism (e.g. locks the account or node until released by an administrator, locks the account or node for a configurable time period, or delays the next login prompt according to a  configurable delay algorithm).",ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
"When passwords are used, the system shall provide an administrative function that resets passwords.",ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
The system shall provide only limited feedback information to the user during the authentication.,ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
"When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords.",CONFIDENTIALITY,CCHIT,1,Riaz,,Confidentiality,Vasily,,,,,,,
"The software used to install and update the system, independent of the mode or method of conveyance, shall be certified free of malevolent software ('malware').",INTEGRITY_IMMUNITY,CCHIT,1,Riaz,,Confidentiality?,Vasily,Might be operational,,,,,,
Vendor may self-certify compliance with this standard through procedures that make use of commercial malware scanning software.,INTEGRITY_IMMUNITY,CCHIT,1,Riaz,,Confidentiality?,Vasily,Might be operational,,,,,,
"The system shall be configurable to prevent corruption or loss of data already accepted into the system in the event of a system failure (e.g. integrating with a UPS, etc.).",INTEGRITY,CCHIT,1,Riaz,,Integrity,Vasily,,,,,,,
"The system shall support protection of confidentiality of all Protected Health Information (PHI) delivered over the Internet or other known open networks via encryption using triple-DES (3DES) or the Advanced Encryption Standard (AES) and an open protocol such as TLS, SSL, IPSec, XML encryptions, or S or MIME or their successors.",CONFIDENTIALITY,CCHIT,1,Riaz,,Confidentiality,Vasily,,,,,,,
"The system shall support protection of integrity of all Protected Health Information (PHI) delivered over the Internet or other known open networks via SHA1 hashing and an open protocol such as TLS, SSL, IPSec, XML digital signature, or S or MIME or their successors.",INTEGRITY,CCHIT,1,Riaz,,Integrity,Vasily,,,,,,,
"The system shall support ensuring the authenticity of remote nodes (mutual node authentication) when communicating Protected Health Information (PHI) over the Internet or other known open networks using an open protocol (e.g. TLS, SSL, IPSec, XML sig, S or MIME).",ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
"The system, when storing PHI on any device intended to be portable or removable (e.g. thumb-drives, CD-ROM, PDA, Notebook), shall support use of a standards based encrypted format using triple-DES (3DES), or the Advanced Encryption Standard (AES), or their successors.","CONFIDENTIALITY,ACCOUNTABILITY",CCHIT,1,Riaz,,Confidentiality,Vasily,,,,,,,
